#Typical redshift uncertainty ~10^-4.,,,,,,
#Flux in erg s^-1 cm^-2 and velocity dispersion in km/s.,,,,,,
#^a The flag corresponds to 1: KMOS; 2: MOSFIRE; 3: XShooter; 4: taken from the literature (Erb et al. 2006; Masters et al. 2014; Maseda et al. 2014); 5: local HIIG (Chávez et al. 2014).,,,,,,
#Target,redshift,log sigma_corr,err_log sigma_corr,log fHb_corr,err_log fHb_corr,note
COSMOS8991,2.2203,1.725,0.023,-16.456,0.251,1
COSMOS11212,2.1984,1.655,0.020,-16.497,0.150,1
GOODS-S-17892,1.6873,1.743,0.018,-16.339,0.058,1
GOODS-S-26816,1.7384,1.685,0.064,-16.644,0.087,1
GSD5,1.7384,1.618,0.063,-16.989,0.092,1
GSD6,1.7688,1.806,0.043,-16.472,0.088,1
GSD9,1.7161,1.514,0.063,-16.682,0.096,1
GSD23,1.7306,1.578,0.085,-17.011,0.101,1
PEARS-103,1.6796,1.761,0.056,-16.768,0.080,1
Q2343-BM181,1.4955,1.792,0.043,-16.764,0.104,1
Q2343-BX182,2.2881,1.792,0.027,-16.303,0.113,1
Q2343-BX336,2.5449,1.807,0.034,-16.596,0.077,1
Q2343-BX389,2.1721,1.774,0.046,-16.150,0.050,1
Q2343-BX390,2.2321,1.848,0.034,-16.548,0.118,1
Q2343-BX391,2.1744,1.710,0.046,-16.606,0.052,1
Q2343-BX429,2.1776,1.821,0.056,-16.548,0.055,1
Q2343-BX435,2.1124,1.817,0.084,-16.779,0.232,1
Q2343-BX480,2.2322,1.683,0.074,-16.767,0.188,1
Q2343-BX493,2.3403,1.727,0.035,-16.505,0.088,1
Q2343-BX529,2.1138,1.674,0.034,-16.367,0.090,1
Q2343-BX601,2.3780,1.638,0.058,-16.546,0.111,1
UDS15,1.7681,1.593,0.046,-16.919,0.089,1
UDS20,1.6390,1.810,0.041,-16.694,0.090,1
UDS24,1.6635,1.678,0.073,-17.072,0.154,1
UDS26,1.7378,1.721,0.067,-16.895,0.118,1
UDS35,1.6692,1.583,0.074,-17.014,0.078,1
UDS38,1.6718,1.726,0.056,-16.759,0.118,1
UDS-3760,1.6649,1.744,0.044,-16.725,0.095,1
UDS14655,2.2981,1.830,0.010,-16.190,0.133,1
COSMOS-12807,1.5820,1.726,0.039,-16.869,0.086,2
COSMOS-13848,1.4433,1.447,0.085,-17.007,0.104,2
COSMOS-15144,1.4120,1.655,0.022,-16.351,0.072,2
COSMOS-16207,1.6482,1.627,0.016,-16.355,0.069,2
COSMOS-16566,1.4366,1.617,0.025,-16.670,0.106,2
COSMOS-17118,1.6554,1.502,0.046,-16.623,0.079,2
COSMOS-18358,1.6491,1.821,0.026,-16.159,0.056,2
HDF-BX1376,2.4294,1.785,0.025,-16.423,0.104,2
UDS23,1.6001,1.650,0.052,-17.030,0.130,2
UDS25,1.6658,1.754,0.030,-16.479,0.073,2
UDS40,1.6113,1.769,0.075,-17.067,0.154,2
UDS-11484,2.1856,1.816,0.010,-16.308,0.127,2
UDS-12435,1.6114,1.829,0.035,-16.497,0.080,2
UDS-109082,1.6814,1.765,0.080,-16.749,0.102,2
3D-HST10245,1.3592,1.788,0.046,-16.664,0.088,2
HoyosD2-1,0.8509,1.703,0.045,-15.587,0.183,3
HoyosD2-5,0.6364,1.616,0.010,-15.577,0.183,3
HoyosD2-12,0.6816,1.559,0.011,-15.745,0.181,3
Q2343-BM133,1.4774,1.756,0.007,-15.817,0.058,3
Q2343-BX418,2.3052,1.761,0.006,-16.237,0.076,3
Q2343-BX660,2.1735,1.808,0.009,-16.256,0.051,3
COSMOS-17839,1.4120,1.675,0.082,-16.714,0.428,4
GOODS-S-43928,1.4720,1.565,0.098,-16.576,0.125,4
HDF-BX1277,2.2713,1.799,0.062,-16.505,0.051,4
Q0201-B13,2.1663,1.792,0.070,-16.849,0.051,4
Q1623-BX215,2.1814,1.845,0.093,-16.548,0.055,4
Q1623-BX453,2.1816,1.785,0.028,-16.089,0.048,4
Q1623-BX502,2.1558,1.875,0.046,-16.108,0.050,4
Q1700-BX794,2.2473,1.903,0.076,-16.396,0.054,4
Q2343-MD80,2.0138,1.869,0.094,-16.724,0.063,4
Q2346-BX120,2.2664,1.792,0.084,-16.505,0.054,4
Q2346-BX405,2.0300,1.699,0.035,-16.083,0.048,4
WISP22-216,1.5430,1.654,0.039,-16.248,0.052,4
WISP46-75,1.5040,1.837,0.066,-16.095,0.063,4
WISP64-210,2.1770,1.829,0.039,-16.338,0.051,4
WISP64-2056,1.6100,1.749,0.039,-16.344,0.049,4
WISP70-253,2.2150,1.643,0.040,-16.700,0.051,4
WISP96-158,2.2340,1.709,0.043,-16.444,0.051,4
WISP138-160,2.2640,1.837,0.044,-16.105,0.048,4
WISP138-173,2.1580,1.814,0.040,-16.254,0.060,4
WISP159-134,1.3000,1.694,0.044,-16.077,0.056,4
WISP170-106,2.1650,1.868,0.041,-16.391,0.050,4
WISP173-205,1.4440,1.833,0.045,-16.180,0.053,4
WISP204-133,2.1910,1.767,0.063,-16.671,0.065,4
WISP206-261,2.3150,1.701,0.044,-16.483,0.050,4
J001647-104742,0.0220,1.377,0.039,-12.962,0.060,5
J002339-094848,0.0519,1.463,0.036,-13.325,0.060,5
J002425+140410,0.0126,1.538,0.034,-13.170,0.091,5
J003218+150014,0.0164,1.577,0.034,-13.297,0.102,5
J005147+000940,0.0364,1.454,0.036,-13.925,0.058,5
J005602-101009,0.0571,1.529,0.034,-13.898,0.078,5
J013258-085337,0.0942,1.527,0.033,-14.110,0.057,5
J013344+005711,0.0181,1.283,0.042,-13.964,0.102,5
J014137-091435,0.0172,1.369,0.040,-13.533,0.064,5
J014707+135629,0.0557,1.625,0.033,-13.546,0.059,5
J021852-091218,0.0121,1.144,0.060,-13.676,0.099,5
J022037-092907,0.1124,1.706,0.033,-13.642,0.071,5
J024052-082827,0.0816,1.651,0.034,-13.514,0.065,5
J024453-082137,0.0769,1.590,0.034,-13.765,0.112,5
J025426-004122,0.0142,1.390,0.038,-13.538,0.105,5
J030321-075923,0.1642,1.782,0.032,-14.031,0.047,5
J031023-083432,0.0510,1.419,0.039,-13.992,0.138,5
J033526-003811,0.0228,1.350,0.041,-13.686,0.111,5
J040937-051805,0.0744,1.548,0.034,-13.882,0.071,5
J051519-391741,0.0504,1.446,0.026,-13.514,0.372,5
J074806+193146,0.0635,1.576,0.025,-13.567,0.049,5
J074947+154013,0.0748,1.567,0.022,-13.983,0.096,5
J080000+274642,0.0399,1.484,0.026,-13.559,0.118,5
J080619+194927,0.0705,1.791,0.032,-13.107,0.068,5
J081334+313252,0.0202,1.463,0.035,-13.280,0.103,5
J081403+235328,0.0208,1.480,0.026,-13.697,0.165,5
J081420+575008,0.0555,1.565,0.033,-13.764,0.124,5
J081737+520236,0.0237,1.588,0.033,-13.107,0.145,5
J082520+082723,0.0877,1.532,0.035,-14.045,0.096,5
J082530+504804,0.0973,1.649,0.033,-13.676,0.108,5
J082722+202612,0.1094,1.688,0.025,-13.467,0.071,5
J083946+140033,0.1125,1.707,0.024,-13.771,0.113,5
J084000+180531,0.0730,1.664,0.019,-13.736,0.073,5
J084029+470710,0.0426,1.637,0.034,-13.079,0.095,5
J084219+300703,0.0848,1.652,0.024,-13.464,0.092,5
J084220+115000,0.0306,1.490,0.035,-13.026,0.052,5
J084414+022621,0.0921,1.747,0.024,-13.191,0.048,5
J084527+530852,0.0313,1.449,0.035,-13.401,0.057,5
J084634+362620,0.0112,1.406,0.040,-12.951,0.055,5
J085221+121651,0.0769,1.725,0.032,-13.109,0.056,5
J090418+260106,0.0992,1.766,0.024,-13.387,0.100,5
J090506+223833,0.1264,1.646,0.025,-13.865,0.095,5
J090531+033530,0.0404,1.566,0.025,-13.751,0.063,5
J091434+470207,0.0277,1.535,0.035,-13.106,0.056,5
J091640+182807,0.0229,1.477,0.035,-13.611,0.062,5
J091652+003113,0.0582,1.614,0.024,-13.885,0.072,5
J092749+084037,0.1081,1.737,0.023,-13.579,0.075,5
J092918+002813,0.0949,1.561,0.025,-13.889,0.077,5
J093006+602653,0.0135,1.441,0.036,-13.196,0.072,5
J093424+222522,0.0854,1.700,0.024,-13.664,0.061,5
J093813+542825,0.1026,1.787,0.031,-13.257,0.082,5
J094000+203122,0.0459,1.602,0.025,-13.736,0.269,5
J094252+354725,0.0156,1.536,0.034,-13.471,0.054,5
J094254+340411,0.0233,1.496,0.036,-14.086,0.062,5
J094809+425713,0.0176,1.434,0.036,-13.513,0.056,5
J095000+300341,0.0182,1.440,0.035,-13.517,0.065,5
J095023+004229,0.0988,1.750,0.025,-13.598,0.057,5
J095226+021759,0.1203,1.746,0.025,-13.516,0.059,5
J095227+322809,0.0158,1.296,0.044,-13.489,0.065,5
J095545+413429,0.0162,1.425,0.042,-13.108,0.056,5
J100720+193349,0.0326,1.297,0.035,-14.163,0.084,5
J100746+025228,0.0252,1.532,0.034,-13.325,0.058,5
J101042+125516,0.0624,1.681,0.042,-13.261,0.056,5
J101136+263027,0.0556,1.612,0.025,-13.599,0.060,5
J101157+130822,0.1449,1.709,0.032,-13.916,0.070,5
J101430+004755,0.1481,1.774,0.024,-13.729,0.144,5
J101458+193219,0.0139,1.279,0.044,-13.962,0.067,5
J102429+052451,0.0348,1.560,0.037,-13.142,0.062,5
J102732-284201,0.0338,1.540,0.034,-13.286,0.454,5
J103328+070801,0.0458,1.791,0.033,-12.751,0.059,5
J103412+014249,0.0699,1.597,0.022,-13.957,0.076,5
J103509+094516,0.0505,1.630,0.034,-14.004,0.116,5
J103726+270759,0.0781,1.593,0.025,-13.792,0.105,5
J104457+035313,0.0145,1.410,0.038,-13.356,0.059,5
J104554+010405,0.0278,1.593,0.034,-13.001,0.056,5
J104653+134645,0.0122,1.446,0.036,-13.229,0.057,5
J104723+302144,0.0304,1.639,0.033,-12.566,0.057,5
J105032+153806,0.0856,1.561,0.033,-13.287,0.054,5
J105040+342947,0.0531,1.544,0.026,-13.532,0.067,5
J105108+131927,0.0467,1.569,0.034,-13.865,0.083,5
J105210+032713,0.1513,1.587,0.032,-14.142,0.166,5
J105331+011740,0.1250,1.660,0.024,-13.930,0.127,5
J105741+653539,0.0111,1.396,0.038,-13.326,0.059,5
J110838+223809,0.0249,1.434,0.027,-13.434,0.052,5
J121329+114056,0.0219,1.465,0.016,-13.313,0.062,5
J121717-280233,0.0277,1.407,0.020,-13.381,0.380,5
J131235+125743,0.0267,1.431,0.022,-13.349,0.117,5
J132347-013252,0.0236,1.309,0.032,-13.531,0.066,5
J132549+330354,0.0151,1.424,0.027,-13.372,0.070,5
J134531+044232,0.0314,1.609,0.024,-13.181,0.039,5
J142342+225728,0.0333,1.683,0.024,-13.448,0.114,5
J144805-011057,0.0281,1.688,0.024,-12.849,0.018,5
J162152+151855,0.0344,1.739,0.023,-13.266,0.037,5
J171236+321633,0.0109,1.340,0.021,-13.586,0.074,5
J192758-413432,0.0088,1.494,0.025,-12.580,0.001,5
J211527-075951,0.0271,1.397,0.017,-13.441,0.100,5
J212332-074831,0.0266,1.441,0.036,-13.760,0.166,5
J214350-072003,0.1088,1.559,0.046,-14.087,0.101,5
J220802+131334,0.1151,1.757,0.033,-13.721,0.069,5
J221823+003918,0.1073,1.707,0.025,-13.806,0.081,5
J222510-001152,0.0655,1.627,0.031,-13.594,0.070,5
J224556+125022,0.0793,1.662,0.033,-13.426,0.060,5
J225140+132713,0.0609,1.660,0.033,-13.024,0.063,5
J230117+135230,0.0228,1.318,0.046,-13.449,0.064,5
J230123+133314,0.0287,1.568,0.033,-13.027,0.071,5
J231442+010621,0.0328,1.393,0.041,-14.045,0.179,5
J232936-011056,0.0648,1.573,0.033,-13.681,0.066,5